a,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565
1530,inf,1.933915363658932e-09,1.885265156361401e-09,2.0358105016670402e-09,2.287801237696348e-09,2.769017072414218e-09,3.4042580258512484e-09,4.039478381372333e-09,4.5243452065576634e-09,4.9114878854370396e-09,5.1445464876735945e-09,5.287440374608652e-09,5.328874871203435e-09,5.343986875246101e-09,5.31403877185167e-09,5.325415852120517e-09,5.2943427247642e-09,5.252642575807498e-09,5.207179070553641e-09,5.1579562047899265e-09,5.078600912686876e-09,4.991726397401442e-09,4.916151652700434e-09,4.810456410519559e-09,4.738662168485615e-09,4.64050370575448e-09,4.538597392594032e-09,4.455523986688123e-09,4.357388548621459e-09,4.281849492088299e-09,4.240202774065391e-09,4.206092009172503e-09,4.190803014184356e-09,4.160453622833823e-09,4.137638708474564e-09,4.10353634497669e-09
1531,1.6576925667007514e-09,inf,1.9288709180525465e-09,1.8803508151316773e-09,2.0305071882943374e-09,2.2818453638928045e-09,2.7618131293734612e-09,3.3954071809354774e-09,4.028982827625974e-09,4.5125974809611415e-09,4.898743194425899e-09,5.131205693426826e-09,5.273737912420682e-09,5.315073972335878e-09,5.330155793848553e-09,5.300294094216028e-09,5.311650648711667e-09,5.280666677076098e-09,5.239083002170569e-09,5.193745529477718e-09,5.144658226000674e-09,5.065515957387832e-09,4.978873552062253e-09,4.9035015424234784e-09,4.79808623007044e-09,4.726484437112907e-09,4.6285858853719056e-09,4.526948768779109e-09,4.444095909243465e-09,4.346219343087212e-09,4.270880943143927e-09,4.229347860528622e-09,4.195331305992067e-09,4.180088278815258e-09,4.1498232772621225e-09,4.127073405957829e-09
1532,1.7612770030400205e-09,1.6533658021115056e-09,inf,1.923842909208584e-09,1.8754524763053995e-09,2.0252211326827718e-09,2.2759088587722466e-09,2.7546325985474184e-09,3.3865850818440168e-09,4.018521339271054e-09,4.500887860191634e-09,4.88603981519098e-09,5.117908115201544e-09,5.260079809098233e-09,5.301317722093967e-09,5.316369429789214e-09,5.286593825850217e-09,5.29792989217006e-09,5.267034759878898e-09,5.225567154961121e-09,5.180355280482657e-09,5.131403074813678e-09,5.052473116498675e-09,4.966062047467188e-09,4.890892094642254e-09,4.7857557867648436e-09,4.71434579955667e-09,4.616706299872271e-09,4.515337492244145e-09,4.43270444849344e-09,4.335085901877822e-09,4.259947493534579e-09,4.218527660477191e-09,4.184604993021202e-09,4.169407764873185e-09,4.139226861914053e-09
1533,2.0131288304691276e-09,1.756679871387453e-09,1.6490531449947894e-09,inf,1.91883127290008e-09,1.8705700773935667e-09,2.0199522674850345e-09,2.2699916467987544e-09,2.747475388690115e-09,3.377791616616581e-09,4.008093783714508e-09,4.489216196029501e-09,4.873377587142398e-09,5.104653585114336e-09,5.246465892429714e-09,5.287605947253283e-09,5.302627609689193e-09,5.27293779468099e-09,5.284253410387909e-09,5.253446802400105e-09,5.212094865079335e-09,5.1670081562561855e-09,5.118190585818296e-09,5.0394722274679315e-09,4.953291724153512e-09,4.878323152610987e-09,4.773464927522388e-09,4.702246105311461e-09,4.604864802151282e-09,4.503763419391884e-09,4.421349463739989e-09,4.323988087658377e-09,4.249049008565108e-09,4.207742040781819e-09,4.173912938454665e-09,4.1587613412834985e-09
1534,2.3749608622409873e-09,2.0078743371377143e-09,1.7520977287427593e-09,1.6447545401894602e-09,inf,1.913835945192682e-09,1.8657035561916807e-09,2.014700525660236e-09,2.2640936527798667e-09,2.7403414089701874e-09,3.369026673801302e-09,3.9977000289650054e-09,4.4775823409273016e-09,4.860756350418111e-09,5.0914419360421686e-09,5.232895990983041e-09,5.2739384753729795e-09,5.288930160953368e-09,5.259325829412454e-09,5.270621032034442e-09,5.239902634637703e-09,5.198665964187834e-09,5.153703990239942e-09,5.105020594348745e-09,5.026513128475627e-09,4.940562423375636e-09,4.8657945602883775e-09,4.7612134999502565e-09,4.690185204547399e-09,4.593061245764531e-09,4.492226407268795e-09,4.410030814915391e-09,4.312925763708837e-09,4.238185354143034e-09,4.196990868908491e-09,4.163255011076191e-09
1535,2.842212682870743e-09,2.368761946491463e-09,2.0026369761505254e-09,1.747530516497941e-09,1.6404699327858448e-09,inf,1.9088568624431115e-09,1.860852850778266e-09,2.0094658404723182e-09,2.258214801864792e-09,2.7332305689687472e-09,3.3602901424520855e-09,3.9873399436298056e-09,4.465986148006311e-09,4.8481759458801215e-09,5.078273001618473e-09,5.219369934101576e-09,5.260315134791733e-09,5.275276911766313e-09,5.245757759522054e-09,5.257032586551894e-09,5.226402087356209e-09,5.185280284707768e-09,5.14044261662558e-09,5.091892936480265e-09,5.013595658429531e-09,4.927873987101429e-09,4.853306162333982e-09,4.749001352339665e-09,4.678162948106706e-09,4.581295484924092e-09,4.480726313561783e-09,4.398748362579018e-09,4.3018987939208795e-09,4.227356396775454e-09,4.186274012915443e-09
1536,3.233225780831511e-09,2.8347941871626834e-09,2.362583242387813e-09,1.9974166805189764e-09,1.742978176312171e-09,1.6361992681244257e-09,inf,1.903893961297666e-09,1.8560178995134014e-09,2.0042481454884707e-09,2.252355019542639e-09,2.726142778677229e-09,3.3515819121259954e-09,3.977013396911665e-09,4.4544274710530555e-09,4.835636215110753e-09,5.0651466162292255e-09,5.205887551900148e-09,5.246735754623701e-09,5.2616676910882995e-09,5.2322334152566095e-09,5.243487904151507e-09,5.212944992082681e-09,5.171937659814888e-09,5.127223870350914e-09,5.0788074490252936e-09,5.000719656961433e-09,4.915226258008571e-09,4.840857804104624e-09,4.736828333662349e-09,4.666179187500254e-09,4.569567374495175e-09,4.4692629965949e-09,4.387501967914139e-09,4.29090704279478e-09,4.216562003565989e-09
1537,3.559593220495316e-09,3.2247866968309228e-09,2.827399879556901e-09,2.356424670901174e-09,1.992213383559863e-09,1.7384406501104204e-09,1.6319424917945423e-09,inf,1.8989471786907044e-09,1.8511986410372544e-09,1.999047374577553e-09,2.2465142316406544e-09,2.7190779484952723e-09,3.342901872880649e-09,3.966720258605763e-09,4.4429061645158744e-09,4.823137000408923e-09,5.052062615009064e-09,5.192448675261048e-09,5.233200164754548e-09,5.2481023286512935e-09,5.218752627628312e-09,5.229986815809594e-09,5.19953118110284e-09,5.158637923435699e-09,5.114047587096095e-09,5.065763969529719e-09,4.987884964423409e-09,4.90261907948089e-09,4.828449331650821e-09,4.724694293567091e-09,4.654233774904143e-09,4.55787676999277e-09,4.4578363153261e-09,4.376291492724732e-09,4.2799503754363035e-09
1538,3.803458400305131e-09,3.5503022806624793e-09,3.2163751285740862e-09,2.820029665476331e-09,2.3502861533629617e-09,1.9870270188937777e-09,1.733917880082059e-09,1.627699549633095e-09,inf,1.894016451843157e-09,1.846395014268629e-09,1.993863461908539e-09,2.2406923643224693e-09,2.7120359892286034e-09,3.3342499152716208e-09,3.956460399096625e-09,4.431422083501502e-09,4.81067814478643e-09,5.039020833837409e-09,5.179053135830072e-09,5.219708195837445e-09,5.234580654954968e-09,5.2053152284108165e-09,5.216529153263589e-09,5.18616048745714e-09,5.145380910243569e-09,5.100913603279776e-09,5.0527623362690725e-09,4.975091421884132e-09,4.8900522956047655e-09,4.81608059171321e-09,4.712599082376244e-09,4.642326563156302e-09,4.546223527578339e-09,4.446446129343996e-09,4.365116799432315e-09
