1530, 3.27558281447159e-9
1531, 3.365058022878179e-9
1532, 3.4509753221769457e-9
1533, 3.519030676623296e-9
1534, 3.590654282936516e-9
1535, 3.697981093436488e-9
1536, 3.8124237221521225e-9
1537, 3.90190927331775e-9
1538, 3.9628281240303655e-9
1539, 3.977370043232732e-9
1540, 3.913410421364002e-9
1541, 3.696015969219944e-9
1542, 3.4500755021409456e-9
1543, 3.1256334939908496e-9
1544, 2.7405208613449763e-9
1545, 2.2840638768798044e-9
1546, 1.931075853794765e-9
1547, 1.685125043956726e-9
1548, 1.581924994311482e-9
1549, 1.7249032952030245e-9
1550, 7.944635210888856e-9
1551, 1.8360776120637937e-9
1552, 1.7899489067703716e-9
1553, 1.93294789317998e-9
1554, 2.172279337235997e-9
1555, 2.6292844879299886e-9
1556, 3.232577622406566e-9
1557, 3.835891442401178e-9
1558, 4.2964648449620525e-9
1559, 4.664263698984345e-9
1560, 4.885753883706023e-9
1561, 5.021626709140929e-9
1562, 5.061146391411372e-9
1563, 5.0756676250956715e-9
1564, 5.047390521895621e-9
1565, 5.058364189231121e-9
